"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1443	6	5				"SLOVAKIA"		110	"SLOVAKIA:  BANSKA STIAVNICA"	48.5	19.1			10	30									
	1444	11					"BULGARIA"		110	"BULGARIA:  VARNA"	43.2	27.9													
	1444						"TURKEY"		140	"TURKEY:  NEMRUT MTNS"	38.7	42.2				30000									
	1445	12	12				"CHINA"		30	"CHINA:  FUJIAN PROVINCE:  ZHANGZHOU"	24.5	117.6		6.3	8										
	1447	11	4				"ITALY"		130	"ITALY:  ROMA (ROME)"	41.9	12.6													
	1448	9	19		136		"JAPAN"		30	"JAPAN:  SADO"	37.5	138.2		7											
	1451						"CROATIA"		130	"BALKANS NW:  CROATIA"	42.6	18.1			10										
	1454	9	14	23			"SWITZERLAND"		120	"SWITZERLAND"	47.5	7.6													
	1454	9	15	1			"SWITZERLAND"		120	"SWITZERLAND"	47.5	7.6													
	1455	1	24				"SOUTH KOREA"		30	"SOUTH KOREA:  KWANGJU"	35.9	126.5		6.3	8										
	1456	6	16				"SERBIA"		130	"BALKANS NW:  SERBIA"	42.2	20.7			10										
	1456	11	29				"TURKEY"		140	"TURKEY:  ERZINCAN"	39.8	39.5													
	1456	12	5	4	3118		"ITALY"		130	"ITALY:  AVELLINO,NAPOLI,ABRUZZI, BRINDISI,BENEVENTO"	40.4	14.5			11	30000					30000				
	1457						"ISRAEL"		140	"ISRAEL:  PALESTINE; SYRIA"	31.2	34.2				32000									
	1458	11	12				"ISRAEL"		140	"ISRAEL:  PALESTINE:  JORDAN:  AL-KARAK (KARAK)"	31.2	34.2			8	100					100				
	1458						"TURKEY"		140	"TURKEY:  ERZINCAN,ERZURUM"	39.9	40.4				32000									
	1459	5	20				"CROATIA"		130	"BALKANS NW:  CROATIA"	46.3	16.3			10										
	1461	11	27	0			"ITALY"		130	"ITALY:  L'AQUILA (AQUILA)"	42.3	13.4			10										
	1461	11	28	2			"ITALY"		130	"ITALY:  CENTRAL"	42.3	13.5			10										
	1463						"YEMEN"		60	"YEMEN:  ZABID"	14.1	43.2			9	10				50	10				50
	1464						"SPAIN"		130	"SPAIN:  SEVILLA (SEVILLE)"	37.3	-5.6			9										
	1469						"GREECE"		130	"GREECE"	38.5	20.5			10										
	1471						"CROATIA"		130	"BALKANS NW:  CROATIA"	42.6	18.1			10										
	1471						"PERU"		160	"PERU"	-16.3	-71	25	8	9										
	1475						"KYRGYZSTAN"		40	"KYRGYZSTAN:  BOLOSAGUN"	42.6	75.2	5	6.4	9										
	1478	8	17				"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  YANYUAN"	27.5	101.6		5.5	7										
	1479	10	20				"CROATIA"		130	"BALKANS NW:  CROATIA"	43	17.6			10										
	1481	5	3		137		"GREECE"		130	"GREECE:  RHODES"	36	28		7.1	10										
	1481	7	15				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:"	26.5	99.9		6	8										
	1481	9	10				"ITALY"		130	"ITALY:  RODI GARGANICO"	42	15.9													
	1481	10	3		5418		"GREECE"		130	"GREECE:  RHODES"	36	28													
	1481	12	18				"GREECE"		130	"GREECE:  RHODES"	36	28													
	1482	2	15	15			"CROATIA"		130	"BALKANS NW:  CROATIA"	42.6	18.1			10										
	1482						"TURKEY"		140	"TURKEY:  ERZINCAN,ERZURUM"	39.9	40.4		7.5	10	30000									
	1482						"IRAN"		140	"IRAN:  HORMOZ,OMAN"	26.1	56.9		6.5											
	1483	2	18				"IRAN"		140	"IRAN:  OFF COAST"	24.9	57.9		7.7											
	1483	10	18				"GREECE"		130	"GREECE:  DODECANESE ISLANDS"	36.2	27.5			10										
	1484	1	29				"CHINA"		30	"CHINA:  BEIJING"	40.5	116.5		6.8	9										
	1484	8	27				"IRAN"		140	"IRAN:  GILAN,DILAMAN,KARAJIAN,SHAKUR,GULIJAN"	37	49													
	1485	8	14				"IRAN"		140	"IRAN:  ALAMUT-JENAT RUDBAR-DAILAMAN"	36.9	49.9		6.5	8										
	1487	8	10				"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  LINTONG, XIANYANG"	34.4	108.9		6.3	8	1900					1900				
	1488	9	16				"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  MAOWEN"	31.7	103.9		5.5	7					37					37
	1489				139		"TURKEY"		140	"SOUTH COASTS OF ASIA MINOR"															
	1490	2	20				"UZBEKISTAN"		40	"UZBEKISTAN:  SAMARKAND"	39.4	67.1	15	5.8	8										
	1490	11	1				"GREECE"		130	"GREECE:  DODECANESE ISLANDS"	36.5	27			10										
	1490						"IRELAND"		120	"IRELAND:  SLIGO, MAYO"	54	-9				100					100				
	1491	10					"GREECE"		130	"GREECE:  KOS"	36.9	27				5000					5000				
	1493	1	10				"IRAN"		140	"IRAN:  NOWZAD-MASK"	33	59.8		6.5											
